food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score
paneer uttapam,8.0,2.0,4.0,2.0,3.0,protein,3.6
paneer wrap,12.0,2.0,4.0,2.0,3.0,protein,4.0
pepper chicken,26.0,1.5,3.0,1.0,1.0,protein,5.2
prawn curry,24.0,2.5,3.0,4.0,0.0,protein,4.8
prawn fry,24.0,2.0,2.0,4.0,0.0,protein,4.8
prawn fry south indian,24.0,2.0,2.0,4.0,0.5,protein,4.9
prawn masala,24.0,2.0,3.0,4.0,1.0,protein,5.0
prawn sukka,24.0,2.0,3.0,4.0,1.0,protein,5.0
prawns,24.0,2.0,0.0,4.0,0.0,protein,4.8
salmon,20.0,0.8,0.0,13.0,0.0,protein,4.4
seekh kebab,25.0,2.0,2.0,1.0,0.5,protein,5.0
shahi paneer,9.0,1.5,6.0,4.0,1.0,protein,3.4
soy chunks,52.0,15.0,0.0,0.0,13.0,protein,10.0
tandoori chicken,28.0,1.5,2.0,1.0,0.0,protein,5.2
tandoori fish,24.0,1.0,2.0,8.0,0.5,protein,4.9
tofu,8.0,2.7,0.0,0.0,1.0,protein,3.3
tofu curry,8.0,2.5,4.0,0.0,2.0,protein,3.5
tuna,29.0,1.0,0.0,6.0,0.0,protein,5.3
aloo gobi,3.0,1.0,15.0,0.0,3.0,vegetable,3.7
aloo matar,4.0,1.2,12.0,0.0,3.5,vegetable,3.8
aloo tikki,4.0,1.5,5.0,0.0,3.0,vegetable,3.7
ash gourd curry,2.0,0.8,6.0,0.0,2.0,vegetable,3.4
avial,3.0,1.2,12.0,0.0,3.5,vegetable,3.7
baingan bharta,2.5,1.0,8.0,0.0,3.0,vegetable,3.6
beetroot,1.6,0.8,4.0,0.0,2.8,vegetable,3.4
beetroot soup,3.0,1.5,8.0,0.0,2.5,vegetable,3.6
bell pepper green,0.9,0.5,80.0,0.0,1.7,vegetable,3.6
bell pepper red,1.0,0.5,127.0,0.0,2.1,vegetable,3.9
bell pepper yellow,1.0,0.4,183.0,0.0,1.7,vegetable,4.1
bhindi masala,3.0,1.0,10.0,0.0,3.5,vegetable,3.7
bitter gourd,1.0,0.4,84.0,0.0,2.6,vegetable,3.7
bottle gourd,0.6,0.2,10.0,0.0,1.2,vegetable,3.1
brinjal,1.0,0.3,2.0,0.0,3.0,vegetable,3.4
broccoli,2.8,0.7,89.0,0.0,2.6,vegetable,4.0
cabbage,1.3,0.5,36.0,0.0,2.5,vegetable,3.5
cabbage peas curry,3.5,1.5,10.0,0.0,3.5,vegetable,3.8
capsicum,1.0,0.4,80.0,0.0,1.5,vegetable,3.5
capsicum curry,3.0,1.0,25.0,0.0,2.5,vegetable,3.6
carrot,0.9,0.3,6.0,0.0,2.8,vegetable,3.4
carrot beans poriyal,3.0,1.2,12.0,0.0,3.0,vegetable,3.7
carrot soup,2.5,1.0,12.0,0.0,2.0,vegetable,3.4
cauliflower,1.9,0.4,48.0,0.0,2.0,vegetable,3.6
cluster beans curry,3.0,1.5,6.0,0.0,4.0,vegetable,3.8
colocasia curry,3.5,1.8,6.0,0.0,3.5,vegetable,3.8
corn chaat,4.0,1.5,10.0,0.0,3.0,vegetable,3.8
corn salad,4.0,1.5,10.0,0.0,3.0,vegetable,3.8
cucumber,0.7,0.3,3.0,0.0,0.5,vegetable,3.0
cucumber salad,2.0,0.5,5.0,0.0,2.0,vegetable,3.3
cutlet,5.0,1.5,6.0,0.0,3.0,vegetable,3.8
drumstick,2.1,4.0,141.0,0.0,3.2,vegetable,4.3
french beans curry,3.0,1.5,8.0,0.0,3.5,vegetable,3.7
french fries,3.0,1.0,10.0,0.0,3.0,vegetable,3.6
gobi manchurian,4.0,1.5,10.0,0.0,2.5,vegetable,3.7
green beans,1.8,1.0,12.0,0.0,3.4,vegetable,3.6
green peas curry,5.5,1.8,10.0,0.0,5.0,vegetable,4.2
hot and sour soup,3.5,1.2,10.0,0.0,2.0,vegetable,3.5
kootu,4.0,1.5,8.0,0.0,4.0,vegetable,3.9
lady finger,2.0,0.6,23.0,0.0,3.2,vegetable,3.6
lauki curry,2.0,0.8,6.0,0.0,2.0,vegetable,3.4
lettuce,1.4,0.5,9.0,0.0,1.3,vegetable,3.2
malai kofta,7.0,1.5,6.0,3.0,2.0,vegetable,3.9
manchow soup,4.0,1.5,9.0,0.0,2.5,vegetable,3.7
methi curry,3.5,2.0,15.0,0.0,3.5,vegetable,3.8
mirchi bajji,3.5,1.2,6.0,0.0,2.0,vegetable,3.5
mixed veg curry,4.5,1.8,15.0,0.0,4.0,vegetable,4.0
mushroom,3.1,0.5,2.0,2.0,1.0,vegetable,3.3
mushroom soup,4.0,1.2,4.0,2.0,2.0,vegetable,3.6
olan,2.0,0.8,6.0,0.0,2.0,vegetable,3.4
onion,1.1,0.2,7.0,0.0,1.7,vegetable,3.2
onion pakora,4.0,1.5,5.0,0.0,2.5,vegetable,3.7
pav bhaji,5.0,2.0,15.0,0.0,3.5,vegetable,4.0
peas,5.4,1.5,40.0,0.0,5.7,vegetable,4.5
poriyal,3.0,1.2,9.0,0.0,3.0,vegetable,3.6
potato,2.0,0.8,19.0,0.0,2.2,vegetable,3.5
potato wedges,3.0,1.0,12.0,0.0,3.5,vegetable,3.7
pumpkin curry,2.5,1.0,9.0,0.0,2.5,vegetable,3.5
radish,0.7,0.3,15.0,0.0,1.6,vegetable,3.2
ridge gourd,0.7,0.3,15.0,0.0,1.1,vegetable,3.1
sarson ka saag,4.0,2.5,25.0,0.0,4.0,vegetable,4.0
snake gourd curry,2.0,0.7,5.0,0.0,2.0,vegetable,3.4
spinach,2.9,2.7,28.0,0.0,2.2,vegetable,3.6
spinach soup,3.5,2.0,20.0,0.0,2.5,vegetable,3.7
stuffed capsicum,4.0,1.5,20.0,0.0,3.0,vegetable,3.8
sweet corn soup,3.5,1.2,8.0,0.0,2.0,vegetable,3.5
sweet potato,1.6,0.6,22.0,0.0,3.0,vegetable,3.5
thoran,2.5,1.0,10.0,0.0,3.0,vegetable,3.6
tinda curry,2.0,0.7,5.0,0.0,2.0,vegetable,3.4
tomato,0.9,0.3,14.0,0.0,1.2,vegetable,3.2
tomato onion curry,3.0,1.0,12.0,0.0,2.5,vegetable,3.6
tomato onion salad,2.5,0.8,10.0,0.0,2.5,vegetable,3.5
tomato soup,2.0,0.8,15.0,0.0,1.5,vegetable,3.3
turnip,0.9,0.3,21.0,0.0,1.8,vegetable,3.3
veg chettinad curry,5.0,1.8,10.0,0.0,3.5,vegetable,3.9
veg chilli,5.0,2.0,8.0,0.0,3.0,vegetable,3.9
veg clear soup,2.5,1.0,10.0,0.0,2.0,vegetable,3.4
veg curry,4.0,1.5,12.0,0.0,3.0,vegetable,3.8
veg cutlet,5.0,2.0,10.0,0.0,3.0,vegetable,3.9
veg kebab,8.0,2.5,6.0,0.0,3.0,vegetable,4.2
veg kofta,6.0,1.5,8.0,1.0,2.5,vegetable,3.9
veg kurma south indian,4.5,1.5,12.0,1.0,3.5,vegetable,3.9
veg manchurian,5.0,1.8,12.0,0.0,3.0,vegetable,3.9
veg salad indian,3.0,1.0,12.0,0.0,3.0,vegetable,3.7
veg soup,3.0,1.0,10.0,0.0,2.0,vegetable,3.5
veg stew,3.5,1.2,12.0,0.0,3.0,vegetable,3.7
veg stew kerala,4.0,1.2,10.0,0.0,3.0,vegetable,3.7
vegetable korma,4.5,1.5,8.0,1.0,3.0,vegetable,3.8
yam curry,3.0,1.5,5.0,0.0,3.5,vegetable,3.7
zucchini,1.2,0.4,17.0,0.0,1.0,vegetable,3.2
